amphur_id,code,name,name_eng,postcode,province_id,active,recby_id,rectime,remark
1,1001,เขตพระนคร   ,,10200,1,T,,3/1/2015 14:51,
2,1002,เขตดุสิต   ,,10300,1,T,,3/1/2015 14:51,
3,1003,เขตหนองจอก   ,,10530,1,T,,3/1/2015 14:51,
4,1004,เขตบางรัก   ,,10500,1,T,,3/1/2015 14:51,
5,1005,เขตบางเขน   ,,10220,1,T,,3/1/2015 14:51,
6,1006,เขตบางกะปิ   ,,10240,1,T,,3/1/2015 14:51,
7,1007,เขตปทุมวัน   ,,10330,1,T,,3/1/2015 14:51,
8,1008,เขตป้อมปราบศัตรูพ่าย   ,,10100,1,T,,3/1/2015 14:51,
9,1009,เขตพระโขนง   ,,10260,1,T,,3/1/2015 14:51,
10,1010,เขตมีนบุรี   ,,10510,1,T,,3/1/2015 14:51,
11,1011,เขตลาดกระบัง   ,,10520,1,T,,3/1/2015 14:51,
12,1012,เขตยานนาวา   ,,10120,1,T,,3/1/2015 14:51,
13,1013,เขตสัมพันธวงศ์   ,,10100,1,T,,3/1/2015 14:51,
14,1014,เขตพญาไท   ,,10400,1,T,,3/1/2015 14:51,
15,1015,เขตธนบุรี   ,,10600,1,T,,3/1/2015 14:51,
16,1016,เขตบางกอกใหญ่   ,,10600,1,T,,3/1/2015 14:51,
17,1017,เขตห้วยขวาง   ,,10310,1,T,,3/1/2015 14:51,
18,1018,เขตคลองสาน   ,,10600,1,T,,3/1/2015 14:51,
19,1019,เขตตลิ่งชัน   ,,10170,1,T,,3/1/2015 14:51,
20,1020,เขตบางกอกน้อย   ,,10700,1,T,,3/1/2015 14:51,
21,1021,เขตบางขุนเทียน   ,,10150,1,T,,3/1/2015 14:51,
22,1022,เขตภาษีเจริญ   ,,10160,1,T,,3/1/2015 14:51,
23,1023,เขตหนองแขม   ,,10160,1,T,,3/1/2015 14:51,
24,1024,เขตราษฎร์บูรณะ   ,,10140,1,T,,3/1/2015 14:51,
25,1025,เขตบางพลัด   ,,10700,1,T,,3/1/2015 14:51,
26,1026,เขตดินแดง   ,,10400,1,T,,3/1/2015 14:51,
27,1027,เขตบึงกุ่ม   ,,10240,1,T,,3/1/2015 14:51,
28,1028,เขตสาทร   ,,10120,1,T,,3/1/2015 14:51,
29,1029,เขตบางซื่อ   ,,10800,1,T,,3/1/2015 14:51,
30,1030,เขตจตุจักร   ,,10900,1,T,,3/1/2015 14:51,
31,1031,เขตบางคอแหลม   ,,10120,1,T,,3/1/2015 14:51,
32,1032,เขตประเวศ   ,,10250,1,T,,3/1/2015 14:51,
33,1033,เขตคลองเตย   ,,10110,1,T,,3/1/2015 14:51,
34,1034,เขตสวนหลวง   ,,10250,1,T,,3/1/2015 14:51,
35,1035,เขตจอมทอง   ,,10150,1,T,,3/1/2015 14:51,
36,1036,เขตดอนเมือง   ,,10210,1,T,,3/1/2015 14:51,
37,1037,เขตราชเทวี   ,,10400,1,T,,3/1/2015 14:51,
38,1038,เขตลาดพร้าว   ,,10230,1,T,,3/1/2015 14:51,
39,1039,เขตวัฒนา   ,,10110,1,T,,3/1/2015 14:51,
40,1040,เขตบางแค   ,,10160,1,T,,3/1/2015 14:51,
41,1041,เขตหลักสี่   ,,10210,1,T,,3/1/2015 14:51,
42,1042,เขตสายไหม   ,,10220,1,T,,3/1/2015 14:51,
43,1043,เขตคันนายาว   ,,10230,1,T,,3/1/2015 14:51,
44,1044,เขตสะพานสูง   ,,10240,1,T,,3/1/2015 14:51,
45,1045,เขตวังทองหลาง   ,,10310,1,T,,3/1/2015 14:51,
46,1046,เขตคลองสามวา   ,,10510,1,T,,3/1/2015 14:51,
47,1047,เขตบางนา   ,,10260,1,T,,3/1/2015 14:51,
48,1048,เขตทวีวัฒนา   ,,10170,1,T,,3/1/2015 14:51,
49,1049,เขตทุ่งครุ   ,,10140,1,T,,3/1/2015 14:51,
50,1050,เขตบางบอน   ,,10150,1,T,,3/1/2015 14:51,
52,1101,เมืองสมุทรปราการ   ,,10270,2,T,,3/1/2015 14:51,
53,1102,บางบ่อ   ,,10560,2,T,,3/1/2015 14:51,
54,1103,บางพลี   ,,10540,2,T,,3/1/2015 14:51,
55,1104,พระประแดง   ,,10130,2,T,,3/1/2015 14:51,
56,1105,พระสมุทรเจดีย์   ,,10290,2,T,,3/1/2015 14:51,
57,1106,บางเสาธง   ,,10540,2,T,,3/1/2015 14:51,
58,1201,เมืองนนทบุรี   ,,11000,3,T,,3/1/2015 14:51,
59,1202,บางกรวย   ,,11130,3,T,,3/1/2015 14:51,
60,1203,บางใหญ่   ,,11140,3,T,,3/1/2015 14:51,
61,1204,บางบัวทอง   ,,11110,3,T,,3/1/2015 14:51,
62,1205,ไทรน้อย   ,,11150,3,T,,3/1/2015 14:51,
63,1206,ปากเกร็ด   ,,11120,3,T,,3/1/2015 14:51,
66,1301,เมืองปทุมธานี   ,,12000,4,T,,3/1/2015 14:51,
67,1302,คลองหลวง   ,,12120,4,T,,3/1/2015 14:51,
68,1303,ธัญบุรี   ,,12110,4,T,,3/1/2015 14:51,
69,1304,หนองเสือ   ,,12170,4,T,,3/1/2015 14:51,
70,1305,ลาดหลุมแก้ว   ,,12140,4,T,,3/1/2015 14:51,
71,1306,ลำลูกกา   ,,12150,4,T,,3/1/2015 14:51,
72,1307,สามโคก   ,,12160,4,T,,3/1/2015 14:51,
74,1401,พระนครศรีอยุธยา   ,,13000,5,T,,3/1/2015 14:51,
75,1402,ท่าเรือ   ,,13130,5,T,,3/1/2015 14:51,
76,1403,นครหลวง   ,,13260,5,T,,3/1/2015 14:51,
77,1404,บางไทร   ,,13190,5,T,,3/1/2015 14:51,
78,1405,บางบาล   ,,13250,5,T,,3/1/2015 14:51,
79,1406,บางปะอิน   ,,13160,5,T,,3/1/2015 14:51,
80,1407,บางปะหัน   ,,13220,5,T,,3/1/2015 14:51,
81,1408,ผักไห่   ,,13120,5,T,,3/1/2015 14:51,
82,1409,ภาชี   ,,13140,5,T,,3/1/2015 14:51,
83,1410,ลาดบัวหลวง   ,,13230,5,T,,3/1/2015 14:51,
84,1411,วังน้อย   ,,13170,5,T,,3/1/2015 14:51,
85,1412,เสนา   ,,13110,5,T,,3/1/2015 14:51,
86,1413,บางซ้าย   ,,13270,5,T,,3/1/2015 14:51,
87,1414,อุทัย   ,,13210,5,T,,3/1/2015 14:51,
88,1415,มหาราช   ,,13150,5,T,,3/1/2015 14:51,
89,1416,บ้านแพรก   ,,13240,5,T,,3/1/2015 14:51,
90,1501,เมืองอ่างทอง   ,,14000,6,T,,3/1/2015 14:51,
91,1502,ไชโย   ,,14140,6,T,,3/1/2015 14:51,
92,1503,ป่าโมก   ,,14130,6,T,,3/1/2015 14:51,
93,1504,โพธิ์ทอง   ,,14120,6,T,,3/1/2015 14:51,
94,1505,แสวงหา   ,,14150,6,T,,3/1/2015 14:51,
95,1506,วิเศษชัยชาญ   ,,14110,6,T,,3/1/2015 14:51,
96,1507,สามโก้   ,,14160,6,T,,3/1/2015 14:51,
97,1601,เมืองลพบุรี   ,,15000,7,T,,3/1/2015 14:51,
98,1602,พัฒนานิคม   ,,15140,7,T,,3/1/2015 14:51,
99,1603,โคกสำโรง   ,,15120,7,T,,3/1/2015 14:51,
100,1604,ชัยบาดาล   ,,15130,7,T,,3/1/2015 14:51,
101,1605,ท่าวุ้ง   ,,15150,7,T,,3/1/2015 14:51,
102,1606,บ้านหมี่   ,,15110,7,T,,3/1/2015 14:51,
103,1607,ท่าหลวง   ,,15230,7,T,,3/1/2015 14:51,
104,1608,สระโบสถ์   ,,15240,7,T,,3/1/2015 14:51,
105,1609,โคกเจริญ   ,,15250,7,T,,3/1/2015 14:51,
106,1610,ลำสนธิ   ,,15190,7,T,,3/1/2015 14:51,
107,1611,หนองม่วง   ,,15170,7,T,,3/1/2015 14:51,
109,1701,เมืองสิงห์บุรี   ,,16000,8,T,,3/1/2015 14:51,
110,1702,บางระจัน   ,,16130,8,T,,3/1/2015 14:51,
111,1703,ค่ายบางระจัน   ,,16150,8,T,,3/1/2015 14:51,
112,1704,พรหมบุรี   ,,16120,8,T,,3/1/2015 14:51,
113,1705,ท่าช้าง   ,,16140,8,T,,3/1/2015 14:51,
114,1706,อินทร์บุรี   ,,16110,8,T,,3/1/2015 14:51,
115,1801,เมืองชัยนาท   ,,17000,9,T,,3/1/2015 14:51,
116,1802,มโนรมย์   ,,17110,9,T,,3/1/2015 14:51,
117,1803,วัดสิงห์   ,,17120,9,T,,3/1/2015 14:51,
118,1804,สรรพยา   ,,17150,9,T,,3/1/2015 14:51,
119,1805,สรรคบุรี   ,,17140,9,T,,3/1/2015 14:51,
120,1806,หันคา   ,,17130,9,T,,3/1/2015 14:51,
121,1807,หนองมะโมง   ,,17120,9,T,,3/1/2015 14:51,
122,1808,เนินขาม   ,,17130,9,T,,3/1/2015 14:51,
123,1901,เมืองสระบุรี   ,,18000,10,T,,3/1/2015 14:51,
124,1902,แก่งคอย   ,,18110,10,T,,3/1/2015 14:51,
125,1903,หนองแค   ,,18140,10,T,,3/1/2015 14:51,
126,1904,วิหารแดง   ,,18150,10,T,,3/1/2015 14:51,
127,1905,หนองแซง   ,,18170,10,T,,3/1/2015 14:51,
128,1906,บ้านหมอ   ,,18130,10,T,,3/1/2015 14:51,
129,1907,ดอนพุด   ,,18210,10,T,,3/1/2015 14:51,
130,1908,หนองโดน   ,,18190,10,T,,3/1/2015 14:51,
131,1909,พระพุทธบาท   ,,18120,10,T,,3/1/2015 14:51,
132,1910,เสาไห้   ,,18160,10,T,,3/1/2015 14:51,
133,1911,มวกเหล็ก   ,,18180,10,T,,3/1/2015 14:51,
134,1912,วังม่วง   ,,18220,10,T,,3/1/2015 14:51,
135,1913,เฉลิมพระเกียรติ(10-กทม.),,0,10,T,,3/1/2015 14:51,
136,2001,เมืองชลบุรี   ,,20000,11,T,,3/1/2015 14:51,
137,2002,บ้านบึง   ,,20170,11,T,,3/1/2015 14:51,
138,2003,หนองใหญ่   ,,20190,11,T,,3/1/2015 14:51,
139,2004,บางละมุง   ,,20150,11,T,,3/1/2015 14:51,
140,2005,พานทอง   ,,20160,11,T,,3/1/2015 14:51,
141,2006,พนัสนิคม   ,,20140,11,T,,3/1/2015 14:51,
142,2007,ศรีราชา   ,,20110,11,T,,3/1/2015 14:51,
143,2008,เกาะสีชัง   ,,20120,11,T,,3/1/2015 14:51,
144,2009,สัตหีบ   ,,20180,11,T,,3/1/2015 14:51,
145,2010,บ่อทอง   ,,20270,11,T,,3/1/2015 14:51,
146,2011,เกาะจันทร์   ,,20240,11,T,,3/1/2015 14:51,
147,2051,สัตหีบ (สาขาตำบลบางเสร่)   ,,20250,11,T,,3/1/2015 14:51,
148,2072,ท้องถิ่นเทศบาลเมืองหนองปรือ   ,,0,11,T,,3/1/2015 14:51,
149,2093,เทศบาลตำบลแหลมฉบัง   ,,0,11,T,,3/1/2015 14:51,
150,2099,เทศบาลเมืองชลบุรี   ,,0,11,T,,3/1/2015 14:51,
151,2101,เมืองระยอง   ,,21000,12,T,,3/1/2015 14:51,
152,2102,บ้านฉาง   ,,21130,12,T,,3/1/2015 14:51,
153,2103,แกลง   ,,21110,12,T,,3/1/2015 14:51,
154,2104,วังจันทร์   ,,21210,12,T,,3/1/2015 14:51,
155,2105,บ้านค่าย   ,,21120,12,T,,3/1/2015 14:51,
156,2106,ปลวกแดง   ,,21140,12,T,,3/1/2015 14:51,
157,2107,เขาชะเมา   ,,21110,12,T,,3/1/2015 14:51,
158,2108,นิคมพัฒนา   ,,21180,12,T,,3/1/2015 14:51,
159,2151,สาขาตำบลมาบข่า   ,,0,12,T,,3/1/2015 14:51,
160,2201,เมืองจันทบุรี   ,,22000,13,T,,3/1/2015 14:51,
161,2202,ขลุง   ,,22110,13,T,,3/1/2015 14:51,
162,2203,ท่าใหม่   ,,22120,13,T,,3/1/2015 14:51,
163,2204,โป่งน้ำร้อน   ,,22140,13,T,,3/1/2015 14:51,
164,2205,มะขาม   ,,22150,13,T,,3/1/2015 14:51,
165,2206,แหลมสิงห์   ,,22130,13,T,,3/1/2015 14:51,
166,2207,สอยดาว   ,,22180,13,T,,3/1/2015 14:51,
167,2208,แก่งหางแมว   ,,22160,13,T,,3/1/2015 14:51,
168,2209,นายายอาม   ,,22160,13,T,,3/1/2015 14:51,
169,2210,เขาคิชฌกูฏ   ,,22210,13,T,,3/1/2015 14:51,
170,2281,กิ่ง อ.กำพุธ  จ.จันทบุรี   ,,0,13,T,,3/1/2015 14:51,
171,2301,เมืองตราด   ,,23000,14,T,,3/1/2015 14:51,
172,2302,คลองใหญ่   ,,23110,14,T,,3/1/2015 14:51,
173,2303,เขาสมิง   ,,23130,14,T,,3/1/2015 14:51,
174,2304,บ่อไร่   ,,23140,14,T,,3/1/2015 14:51,
175,2305,แหลมงอบ   ,,23120,14,T,,3/1/2015 14:51,
176,2306,เกาะกูด   ,,23000,14,T,,3/1/2015 14:51,
177,2307,เกาะช้าง   ,,23170,14,T,,3/1/2015 14:51,
178,2401,เมืองฉะเชิงเทรา   ,,24000,15,T,,3/1/2015 14:51,
179,2402,บางคล้า   ,,24110,15,T,,3/1/2015 14:51,
180,2403,บางน้ำเปรี้ยว   ,,24150,15,T,,3/1/2015 14:51,
181,2404,บางปะกง   ,,24130,15,T,,3/1/2015 14:51,
182,2405,บ้านโพธิ์   ,,24140,15,T,,3/1/2015 14:51,
183,2406,พนมสารคาม   ,,24120,15,T,,3/1/2015 14:51,
184,2407,ราชสาส์น   ,,24120,15,T,,3/1/2015 14:51,
185,2408,สนามชัยเขต   ,,24160,15,T,,3/1/2015 14:51,
186,2409,แปลงยาว   ,,24190,15,T,,3/1/2015 14:51,
187,2410,ท่าตะเกียบ   ,,24160,15,T,,3/1/2015 14:51,
188,2411,คลองเขื่อน   ,,24000,15,T,,3/1/2015 14:51,
189,2501,เมืองปราจีนบุรี   ,,25000,16,T,,3/1/2015 14:51,
190,2502,กบินทร์บุรี   ,,25110,16,T,,3/1/2015 14:51,
191,2503,นาดี   ,,25220,16,T,,3/1/2015 14:51,
192,2504,สระแก้ว   ,,0,16,T,,3/1/2015 14:51,
193,2505,วังน้ำเย็น   ,,0,16,T,,3/1/2015 14:51,
194,2506,บ้านสร้าง   ,,25150,16,T,,3/1/2015 14:51,
195,2507,ประจันตคาม   ,,25130,16,T,,3/1/2015 14:51,
196,2508,ศรีมหาโพธิ   ,,25140,16,T,,3/1/2015 14:51,
197,2509,ศรีมโหสถ   ,,25190,16,T,,3/1/2015 14:51,
198,2510,อรัญประเทศ   ,,0,16,T,,3/1/2015 14:51,
199,2511,ตาพระยา   ,,0,16,T,,3/1/2015 14:51,
200,2512,วัฒนานคร   ,,0,16,T,,3/1/2015 14:51,
201,2513,คลองหาด   ,,0,16,T,,3/1/2015 14:51,
202,2601,เมืองนครนายก   ,,26000,17,T,,3/1/2015 14:51,
203,2602,ปากพลี   ,,26130,17,T,,3/1/2015 14:51,
204,2603,บ้านนา   ,,26110,17,T,,3/1/2015 14:51,
205,2604,องครักษ์   ,,26120,17,T,,3/1/2015 14:51,
206,2701,เมืองสระแก้ว   ,,27000,18,T,,3/1/2015 14:51,
